"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1923-01-01","1923","01","01","","0.6","","-1.1","","-0.3","","18.3","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-02","1923","01","02","","-1.1","","-2.8","","-2.0","","20.0","","0.0","","0.0","","6.9","","6.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-03","1923","01","03","","2.8","","-2.8","","0.0","","18.0","","0.0","","0.0","","5.6","","5.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-04","1923","01","04","","2.2","","-7.2","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-05","1923","01","05","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-06","1923","01","06","","0.6","","-2.2","","-0.8","","18.8","","0.0","","16.0","","9.1","","25.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-07","1923","01","07","","2.8","","0.0","","1.4","","16.6","","0.0","","16.0","","0.0","","16.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-08","1923","01","08","","4.4","","-0.6","","1.9","","16.1","","0.0","","17.3","","0.0","","17.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-09","1923","01","09","","2.8","","-1.1","","0.9","","17.1","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-10","1923","01","10","","0.6","","0.0","","0.3","","17.7","","0.0","","48.8","","0.0","","48.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-11","1923","01","11","","0.0","","0.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-12","1923","01","12","","0.0","","-9.4","","-4.7","","22.7","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-13","1923","01","13","","-0.6","","-9.4","","-5.0","","23.0","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-14","1923","01","14","","-5.6","","-12.2","","-8.9","","26.9","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-15","1923","01","15","","0.6","","-7.8","","-3.6","","21.6","","0.0","","0.0","","14.0","","14.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-16","1923","01","16","","4.4","","-7.8","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-17","1923","01","17","","3.3","","-2.8","","0.3","","17.7","","0.0","","26.4","","0.0","","26.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-18","1923","01","18","","3.3","","-1.7","","0.8","","17.2","","0.0","","0.0","","12.2","","12.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-19","1923","01","19","","-0.6","","-1.7","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-20","1923","01","20","","-1.1","","-6.1","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-21","1923","01","21","","-6.1","","-11.1","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-22","1923","01","22","","-5.6","","-13.9","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-23","1923","01","23","","-5.6","","-13.9","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1923-01-24","1923","01","24","","-5.6","","-20.6","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
