"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1982-01-01","1982","01","01","","-6.5","","-14.5","","-10.5","","28.5","","0.0","","0.0","","1.0","","1.0","","39","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-02","1982","01","02","","-6.5","","-18.5","","-12.5","","30.5","","0.0","","0.0","","7.2","","7.2","","39","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-03","1982","01","03","","-4.5","","-13.5","","-9.0","","27.0","","0.0","","0.0","","9.2","","9.2","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-04","1982","01","04","","-13.5","","-17.5","","-15.5","","33.5","","0.0","","0.0","","4.8","","4.8","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-05","1982","01","05","","-15.5","","-23.5","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-06","1982","01","06","","-11.0","","-35.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-07","1982","01","07","","-3.5","","-20.5","","-12.0","","30.0","","0.0","","0.0","","4.0","","4.0","","43","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-08","1982","01","08","","3.0","","-9.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-09","1982","01","09","","1.5","","-11.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-10","1982","01","10","","-8.0","","-16.0","","-12.0","","30.0","","0.0","","0.0","","4.0","","4.0","","37","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-11","1982","01","11","","-2.0","","-11.5","","-6.8","","24.8","","0.0","","0.0","","0.6","","0.6","","41","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-12","1982","01","12","","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-13","1982","01","13","","3.5","","-6.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-14","1982","01","14","","5.0","","0.5","","2.8","","15.2","","0.0","","0.0","","9.0","","9.0","","40","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-15","1982","01","15","","-15.0","","-20.5","","-17.8","","35.8","","0.0","","0.0","","1.4","","1.4","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-16","1982","01","16","","-3.0","","-29.0","","-16.0","","34.0","","0.0","","0.0","","15.4","","15.4","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1982-01-17","1982","01","17","","-3.0","","-21.5","","-12.3","","30.3","","0.0","","0.0","","49.0","","49.0","","59","","","","",""
