"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1957-01-01","1957","01","01","","0.6","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-02","1957","01","02","","0.0","","","M","","M","","M","","M","0.0","","3.3","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-03","1957","01","03","","-0.6","","-4.4","","-2.5","","20.5","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-04","1957","01","04","","-2.2","","-6.7","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-05","1957","01","05","","","M","-12.8","","","M","","M","","M","0.0","","0.0","C","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-06","1957","01","06","","-1.1","","-11.7","","-6.4","","24.4","","0.0","","0.0","","27.9","A","27.9","A","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-07","1957","01","07","","-0.6","","","M","","M","","M","","M","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-08","1957","01","08","","-16.1","","-19.4","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-09","1957","01","09","","-7.8","","-23.9","","-15.9","","33.9","","0.0","","0.0","","6.4","","6.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-10","1957","01","10","","-4.4","","-23.3","","-13.9","","31.9","","0.0","","0.0","","14.0","","14.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-11","1957","01","11","","-11.1","","-16.7","","-13.9","","31.9","","0.0","","0.0","","0.0","C","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-12","1957","01","12","","","M","-26.7","","","M","","M","","M","0.0","","27.9","A","27.9","A","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-13","1957","01","13","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-14","1957","01","14","","-9.4","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-15","1957","01","15","","-16.1","","-23.9","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-16","1957","01","16","","-12.8","","-27.2","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-17","1957","01","17","","-15.6","","-30.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-18","1957","01","18","","-15.0","","-30.0","","-22.5","","40.5","","0.0","","0.0","","0.0","C","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-19","1957","01","19","","-18.9","","-30.6","","-24.8","","42.8","","0.0","","0.0","","0.0","C","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1957-01-20","1957","01","20","","","M","-26.1","","","M","","M","","M","0.0","","1.3","A","1.3","A","","","","","",""
