"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1953-01-01","1953","01","01","","-1.7","","","M","","M","","M","","M","0.0","","0.3","","0.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-02","1953","01","02","","4.4","","2.8","","3.6","","14.4","","0.0","","0.0","","13.5","","13.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-03","1953","01","03","","5.0","","-6.1","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-04","1953","01","04","","5.6","","2.2","","3.9","","14.1","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-05","1953","01","05","","-2.8","","-3.9","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-06","1953","01","06","","-9.4","","-16.7","","-13.1","","31.1","","0.0","","0.0","","8.1","","8.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-07","1953","01","07","","","M","-18.9","","","M","","M","","M","0.0","","23.1","","23.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-08","1953","01","08","","6.1","","-19.4","","-6.7","","24.7","","0.0","","55.9","","0.0","","55.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-09","1953","01","09","","7.2","","0.6","","3.9","","14.1","","0.0","","29.2","","0.0","","29.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-10","1953","01","10","","3.9","","-1.1","","1.4","","16.6","","0.0","","12.7","","0.0","","12.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-11","1953","01","11","","7.8","","0.0","","3.9","","14.1","","0.0","","41.1","","0.0","","41.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-12","1953","01","12","","7.2","","0.6","","3.9","","14.1","","0.0","","19.6","","0.0","","19.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-13","1953","01","13","","7.2","","2.2","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-14","1953","01","14","","-10.0","","-17.8","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-15","1953","01","15","","3.3","","-17.2","","-7.0","","25.0","","0.0","","15.7","","0.0","","15.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-16","1953","01","16","","","M","2.8","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-17","1953","01","17","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-18","1953","01","18","","4.4","","","M","","M","","M","","M","6.6","","6.4","","13.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-19","1953","01","19","","3.9","","0.0","","2.0","","16.0","","0.0","","4.3","","0.0","","4.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-20","1953","01","20","","2.8","","1.7","","2.3","","15.7","","0.0","","3.6","","0.0","","3.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-21","1953","01","21","","4.4","","0.0","","2.2","","15.8","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-22","1953","01","22","","0.6","","-0.6","","0.0","","18.0","","0.0","","0.0","","16.8","","16.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-23","1953","01","23","","5.6","","-0.6","","2.5","","15.5","","0.0","","21.1","","0.0","","21.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-24","1953","01","24","","7.2","","-0.6","","3.3","","14.7","","0.0","","0.5","","0.0","","0.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-25","1953","01","25","","1.7","","0.6","","1.2","","16.8","","0.0","","0.0","","12.2","","12.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-26","1953","01","26","","0.6","","-0.6","","0.0","","18.0","","0.0","","0.0","","14.0","","14.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-27","1953","01","27","","0.0","","-3.9","","-2.0","","20.0","","0.0","","0.0","","19.3","","19.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-28","1953","01","28","","3.9","","0.0","","2.0","","16.0","","0.0","","13.5","","2.5","","16.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-29","1953","01","29","","5.0","","1.1","","3.1","","14.9","","0.0","","4.1","","0.0","","4.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-30","1953","01","30","","5.6","","2.2","","3.9","","14.1","","0.0","","23.9","","0.0","","23.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-01-31","1953","01","31","","7.8","","1.7","","4.8","","13.2","","0.0","","12.7","","0.0","","12.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1953-02-01","1953","02","01","","3.9","","1.1","","2.5","","15.5","","0.0","","1.0","","1.3","","2.3","","","","","","",""
