"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1956-01-01","1956","01","01","","","M","-21.1","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-02","1956","01","02","","1.1","","","M","","M","","M","","M","0.0","","20.3","","20.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-03","1956","01","03","","2.2","","0.0","","1.1","","16.9","","0.0","","13.2","","7.6","","20.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-04","1956","01","04","","3.9","","0.0","","2.0","","16.0","","0.0","","5.1","","2.5","","7.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-05","1956","01","05","","2.2","","-0.6","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-06","1956","01","06","","3.3","","-12.2","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-07","1956","01","07","","","M","","M","","M","","M","","M","1.8","","10.2","","11.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-08","1956","01","08","","","M","-12.2","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-09","1956","01","09","","-3.9","","-17.2","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-10","1956","01","10","","-1.1","","-11.1","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-11","1956","01","11","","3.3","","-10.0","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-12","1956","01","12","","1.7","","-6.1","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-13","1956","01","13","","0.6","","-10.6","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-14","1956","01","14","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-15","1956","01","15","","","M","","M","","M","","M","","M","0.0","","22.9","","22.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-16","1956","01","16","","-9.4","","-17.2","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-17","1956","01","17","","-1.1","","-14.4","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-18","1956","01","18","","1.7","","-10.6","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-19","1956","01","19","","0.6","","-2.2","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-20","1956","01","20","","-1.7","","-8.3","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-21","1956","01","21","","0.6","","-16.7","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-22","1956","01","22","","","M","-5.0","","","M","","M","","M","0.0","","6.4","","6.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-23","1956","01","23","","3.3","","-3.3","","0.0","","18.0","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-24","1956","01","24","","-1.1","","-1.7","","-1.4","","19.4","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-25","1956","01","25","","-6.7","","-16.7","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-26","1956","01","26","","-5.0","","-25.6","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-27","1956","01","27","","-2.2","","-18.9","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-28","1956","01","28","","","M","-27.8","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-29","1956","01","29","","-4.4","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-30","1956","01","30","","-12.8","","-32.2","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-01-31","1956","01","31","","-16.1","","-32.8","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-01","1956","02","01","","-13.3","","-31.7","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-02","1956","02","02","","-12.2","","-28.9","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-03","1956","02","03","","-12.8","","-28.9","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-04","1956","02","04","","-7.8","","-25.6","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-05","1956","02","05","","0.0","","-3.3","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-06","1956","02","06","","3.3","","-2.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-07","1956","02","07","","1.1","","-8.3","","-3.6","","21.6","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-08","1956","02","08","","0.0","","-17.8","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-09","1956","02","09","","1.7","","-17.8","","-8.1","","26.1","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-10","1956","02","10","","3.3","","-1.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-11","1956","02","11","","2.8","","-1.1","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-12","1956","02","12","","0.0","","-2.8","","-1.4","","19.4","","0.0","","0.0","","5.6","","5.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-13","1956","02","13","","-3.9","","-13.3","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-14","1956","02","14","","-10.0","","-23.3","","-16.7","","34.7","","0.0","","0.0","","6.6","","6.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-15","1956","02","15","","-20.6","","-27.2","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-16","1956","02","16","","-14.4","","-35.0","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-17","1956","02","17","","-11.1","","-21.1","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-18","1956","02","18","","","M","-26.1","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-19","1956","02","19","","-3.9","","","M","","M","","M","","M","0.0","","3.0","","3.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-20","1956","02","20","","0.0","","-14.4","","-7.2","","25.2","","0.0","","0.0","","8.4","","8.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-21","1956","02","21","","5.6","","-7.8","","-1.1","","19.1","","0.0","","5.3","","0.0","","5.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-22","1956","02","22","","1.7","","-3.3","","-0.8","","18.8","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-23","1956","02","23","","-0.6","","-6.7","","-3.7","","21.7","","0.0","","0.0","","7.1","","7.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-24","1956","02","24","","-0.6","","-7.2","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-25","1956","02","25","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-26","1956","02","26","","","M","","M","","M","","M","","M","0.0","","28.7","","28.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-27","1956","02","27","","-0.6","","-16.1","","-8.4","","26.4","","0.0","","0.0","","2.3","","2.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-28","1956","02","28","","2.2","","-4.4","","-1.1","","19.1","","0.0","","11.7","","5.1","","16.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-02-29","1956","02","29","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-01","1956","03","01","","3.3","","-1.7","","0.8","","17.2","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-02","1956","03","02","","4.4","","-1.1","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-03","1956","03","03","","","M","","M","","M","","M","","M","0.0","","0.0","C","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-04","1956","03","04","","","M","","M","","M","","M","","M","0.0","","7.6","A","7.6","A","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-05","1956","03","05","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-06","1956","03","06","","-1.7","","-23.9","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-07","1956","03","07","","-1.7","","-6.7","","-4.2","","22.2","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-08","1956","03","08","","1.7","","-6.7","","-2.5","","20.5","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-09","1956","03","09","","","M","-12.2","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-10","1956","03","10","","-1.7","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-11","1956","03","11","","","M","-32.8","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-12","1956","03","12","","1.1","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-13","1956","03","13","","2.8","","-13.3","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-14","1956","03","14","","2.2","","-12.8","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-15","1956","03","15","","5.0","","-3.3","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-16","1956","03","16","","6.7","","-1.7","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-17","1956","03","17","","10.0","","-8.9","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-18","1956","03","18","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-19","1956","03","19","","10.0","","-10.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-20","1956","03","20","","5.0","","-6.1","","-0.6","","18.6","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-21","1956","03","21","","5.6","","-2.8","","1.4","","16.6","","0.0","","5.6","","0.0","","5.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-22","1956","03","22","","6.1","","0.6","","3.4","","14.6","","0.0","","8.6","","0.0","","8.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-23","1956","03","23","","","M","0.6","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-24","1956","03","24","","","M","","M","","M","","M","","M","0.0","C","0.0","","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-25","1956","03","25","","10.0","","","M","","M","","M","","M","23.9","A","0.0","","23.9","A","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-26","1956","03","26","","3.3","","-1.1","","1.1","","16.9","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-27","1956","03","27","","4.4","","-3.9","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-28","1956","03","28","","5.6","","-10.0","","-2.2","","20.2","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-29","1956","03","29","","","M","-2.8","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-30","1956","03","30","","6.1","","","M","","M","","M","","M","23.1","","2.5","","25.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-03-31","1956","03","31","","","M","-1.7","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-01","1956","04","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-02","1956","04","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-03","1956","04","03","","","","","","","","","","","","0.5","","0.0","","0.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-04","1956","04","04","","","","","","","","","","","","0.0","","19.1","","19.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-05","1956","04","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-06","1956","04","06","","","","","","","","","","","","0.0","","7.1","","7.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-07","1956","04","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-08","1956","04","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-09","1956","04","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-10","1956","04","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-11","1956","04","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-12","1956","04","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-13","1956","04","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-14","1956","04","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-15","1956","04","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-16","1956","04","16","","","","","","","","","","","","11.7","","0.0","","11.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-17","1956","04","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-18","1956","04","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-19","1956","04","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-20","1956","04","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-21","1956","04","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1956-04-22","1956","04","22","","","","","","","","","","","","2.5","","4.6","","7.1","","","","","","",""
