"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1934-01-01","1934","01","01","","-9.4","","-10.0","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-02","1934","01","02","","4.4","","-12.2","","-3.9","","21.9","","0.0","","0.0","","3.3","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-03","1934","01","03","","4.4","","-10.0","","-2.8","","20.8","","0.0","","20.3","","0.0","","20.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-04","1934","01","04","","4.4","","1.7","","3.1","","14.9","","0.0","","3.8","","0.0","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-05","1934","01","05","","3.9","","1.7","","2.8","","15.2","","0.0","","10.2","","0.0","","10.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-06","1934","01","06","","-3.3","","-8.9","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-07","1934","01","07","","-6.7","","-12.8","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-08","1934","01","08","","-6.7","","-13.9","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-09","1934","01","09","","3.3","","-14.4","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-10","1934","01","10","","3.3","","-10.0","","-3.4","","21.4","","0.0","","0.0","","5.8","","5.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-11","1934","01","11","","1.7","","-3.3","","-0.8","","18.8","","0.0","","6.6","","9.1","","15.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-12","1934","01","12","","1.7","","-10.0","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-13","1934","01","13","","-1.1","","-10.0","","-5.6","","23.6","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-14","1934","01","14","","-2.8","","-3.3","","-3.1","","21.1","","0.0","","15.5","","0.0","","15.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-15","1934","01","15","","-2.8","","-18.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-16","1934","01","16","","5.0","","-18.3","","-6.7","","24.7","","0.0","","0.0","","3.3","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-17","1934","01","17","","3.9","","-2.8","","0.6","","17.4","","0.0","","7.4","","0.0","","7.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-18","1934","01","18","","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-19","1934","01","19","","3.9","","-10.6","","-3.4","","21.4","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-20","1934","01","20","","3.9","","-1.7","","1.1","","16.9","","0.0","","8.6","","20.3","","29.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-21","1934","01","21","","4.4","","-1.1","","1.7","","16.3","","0.0","","0.0","","14.7","","14.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-22","1934","01","22","","5.6","","0.6","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-23","1934","01","23","","3.3","","0.0","","1.7","","16.3","","0.0","","22.6","","0.0","","22.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-24","1934","01","24","","4.4","","-16.7","","-6.2","","24.2","","0.0","","4.6","","0.0","","4.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-25","1934","01","25","","7.8","","-16.1","","-4.2","","22.2","","0.0","","3.3","","0.0","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-26","1934","01","26","","5.6","","2.2","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-27","1934","01","27","","7.2","","3.3","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-28","1934","01","28","","4.4","","-6.7","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-29","1934","01","29","","-1.1","","-6.7","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-30","1934","01","30","","3.9","","-4.4","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-01-31","1934","01","31","","2.2","","-3.3","","-0.6","","18.6","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-02-01","1934","02","01","","9.4","","-3.3","","3.1","","14.9","","0.0","","6.1","","0.0","","6.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1934-02-02","1934","02","02","","8.9","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
