"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1974-01-01","1974","01","01","","-13.9","","-26.7","","-20.3","","38.3","","0.0","","0.0","","1.5","","1.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-02","1974","01","02","","-9.4","","-22.8","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-03","1974","01","03","","-17.2","","-27.8","","-22.5","","40.5","","0.0","","0.0","","0.3","","0.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-04","1974","01","04","","-15.0","","-25.6","","-20.3","","38.3","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-05","1974","01","05","","-17.2","","-31.7","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-06","1974","01","06","","-13.9","","-26.7","","-20.3","","38.3","","0.0","","0.0","","4.3","","4.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-07","1974","01","07","","-12.2","","-19.4","","-15.8","","33.8","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-08","1974","01","08","","-15.6","","-23.3","","-19.5","","37.5","","0.0","","0.0","","1.5","","1.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-09","1974","01","09","","-17.8","","-30.0","","-23.9","","41.9","","0.0","","0.0","","1.5","","1.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-10","1974","01","10","","-16.1","","-26.1","","-21.1","","39.1","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-11","1974","01","11","","-20.0","","-30.6","","-25.3","","43.3","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-12","1974","01","12","","2.8","","-23.9","","-10.6","","28.6","","0.0","","0.0","","20.8","","20.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-13","1974","01","13","","5.6","","-17.2","","-5.8","","23.8","","0.0","","26.2","","0.0","","26.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-14","1974","01","14","","6.7","","2.2","","4.5","","13.5","","0.0","","46.2","","0.0","","46.2","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-15","1974","01","15","","8.3","","3.3","","5.8","","12.2","","0.0","","54.4","","0.0","","54.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-16","1974","01","16","","7.8","","3.3","","5.6","","12.4","","0.0","","25.4","","0.0","","25.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-17","1974","01","17","","5.0","","0.0","","2.5","","15.5","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-18","1974","01","18","","6.1","","-3.9","","1.1","","16.9","","0.0","","9.9","","5.1","","15.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1974-01-19","1974","01","19","","5.0","","-1.7","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
