"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1999-01-01","1999","01","01","","2.0","E","-10.0","E","-4.0","E","22.0","E","0.0","E","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-02","1999","01","02","","","M","","Y","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-03","1999","01","03","","-4.0","E","-18.0","E","-11.0","E","29.0","E","0.0","E","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-04","1999","01","04","","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-05","1999","01","05","","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-06","1999","01","06","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-07","1999","01","07","","4.0","","-10.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-08","1999","01","08","","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","1.0","E","1.0","E","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-09","1999","01","09","","","M","","Y","","M","","M","","M","0.0","C","0.0","","0.0","C","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-10","1999","01","10","","7.0","","","Y","","","","","","","22.0","A","0.0","","22.0","A","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-11","1999","01","11","","7.0","","0.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-12","1999","01","12","","4.0","","2.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-13","1999","01","13","","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1999-01-14","1999","01","14","","6.0","","0.0","","3.0","","15.0","","0.0","","28.3","","0.0","","28.3","","","","","","",""
