"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1971-01-01","1971","01","01","","-5.0","","-14.4","","-9.7","","27.7","","0.0","","0.0","","6.4","","6.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-02","1971","01","02","","-15.0","","-24.4","","-19.7","","37.7","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-03","1971","01","03","","-11.1","","-23.9","","-17.5","","35.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-04","1971","01","04","","-17.2","","-31.1","","-24.2","","42.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-05","1971","01","05","","-14.4","","-28.3","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-06","1971","01","06","","-12.8","","-23.9","","-18.4","","36.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-07","1971","01","07","","-6.1","","-18.9","","-12.5","","30.5","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-08","1971","01","08","","1.7","","-9.4","","-3.9","","21.9","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-09","1971","01","09","","-12.2","","-22.8","","-17.5","","35.5","","0.0","","0.0","","21.6","","21.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-10","1971","01","10","","-15.0","","-22.8","","-18.9","","36.9","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-11","1971","01","11","","-22.2","","-23.9","","-23.1","","41.1","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-12","1971","01","12","","-20.6","","-25.0","","-22.8","","40.8","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-13","1971","01","13","","-18.9","","-23.3","","-21.1","","39.1","","0.0","","0.0","","5.8","","5.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-14","1971","01","14","","-17.2","","-23.3","","-20.3","","38.3","","0.0","","0.0","","20.8","","20.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-15","1971","01","15","","5.0","","-19.4","","-7.2","","25.2","","0.0","","2.5","","8.1","","10.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-16","1971","01","16","","5.0","","-11.1","","-3.1","","21.1","","0.0","","2.5","","8.9","","11.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-17","1971","01","17","","5.0","","-3.3","","0.9","","17.1","","0.0","","4.3","","0.0","","4.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-18","1971","01","18","","5.0","","0.6","","2.8","","15.2","","0.0","","22.9","","0.0","","22.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-19","1971","01","19","","7.8","","1.1","","4.5","","13.5","","0.0","","30.7","","0.0","","30.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-20","1971","01","20","","-0.6","","-3.9","","-2.3","","20.3","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-21","1971","01","21","","-2.8","","-4.4","","-3.6","","21.6","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-22","1971","01","22","","1.7","","-9.4","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-23","1971","01","23","","3.9","","-5.0","","-0.6","","18.6","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-24","1971","01","24","","1.7","","-0.6","","0.6","","17.4","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-25","1971","01","25","","-1.1","","-3.3","","-2.2","","20.2","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-26","1971","01","26","","5.0","","-4.4","","0.3","","17.7","","0.0","","3.6","","3.8","","7.4","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-27","1971","01","27","","5.6","","0.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-28","1971","01","28","","7.2","","1.1","","4.2","","13.8","","0.0","","3.0","","0.0","","3.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-29","1971","01","29","","6.7","","5.6","","6.2","","11.8","","0.0","","11.7","","0.0","","11.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-30","1971","01","30","","9.4","","-3.9","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1971-01-31","1971","01","31","","8.9","","-6.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
