"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1952-01-01","1952","01","01","","-22.8","","-29.4","","-26.1","","44.1","","0.0","","0.0","","1.8","","1.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-02","1952","01","02","","-18.3","","-26.7","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-03","1952","01","03","","-15.0","","-25.6","","-20.3","","38.3","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-04","1952","01","04","","-5.0","","-25.6","","-15.3","","33.3","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-05","1952","01","05","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","22.9","","22.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-06","1952","01","06","","-1.7","","-6.1","","-3.9","","21.9","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-07","1952","01","07","","-2.8","","-10.0","","-6.4","","24.4","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-08","1952","01","08","","-2.8","","-10.0","","-6.4","","24.4","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-09","1952","01","09","","-1.1","","-7.2","","-4.2","","22.2","","0.0","","0.0","","16.5","","16.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1952-01-10","1952","01","10","","-0.6","","-3.3","","-2.0","","20.0","","0.0","","0.0","","12.2","","12.2","","","","","","",""
