"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1987-01-01","1987","01","01","","1.0","","-14.0","","-6.5","","24.5","","0.0","","0.0","","7.0","","7.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-02","1987","01","02","","1.0","","-4.0","","-1.5","","19.5","","0.0","","0.0","","6.0","","6.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-03","1987","01","03","","2.0","","-1.0","","0.5","","17.5","","0.0","","7.0","","11.0","","18.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-04","1987","01","04","","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-05","1987","01","05","","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-06","1987","01","06","","-4.0","","-14.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-07","1987","01","07","","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-08","1987","01","08","","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","41","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-09","1987","01","09","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-10","1987","01","10","","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-11","1987","01","11","","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-12","1987","01","12","","6.0","","-4.0","","1.0","","17.0","","0.0","","0.0","T","7.0","","7.0","","38","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-13","1987","01","13","","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","9.0","","9.0","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-14","1987","01","14","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-15","1987","01","15","","-9.0","","-27.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-16","1987","01","16","","-9.0","","-23.0","","-16.0","","34.0","","0.0","","0.0","","1.0","","1.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-17","1987","01","17","","-5.0","","-21.0","","-13.0","","31.0","","0.0","","0.0","","1.0","","1.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-18","1987","01","18","","-1.0","","-10.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-19","1987","01","19","","-5.0","","-21.0","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-20","1987","01","20","","-2.0","","-19.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-21","1987","01","21","","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-22","1987","01","22","","-5.5","","-19.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-23","1987","01","23","","-4.5","","-18.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-24","1987","01","24","","1.5","","-8.5","","-3.5","","21.5","","0.0","","1.0","","14.5","","15.5","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-25","1987","01","25","","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","4.0","","4.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-26","1987","01","26","","4.0","","-6.5","","-1.3","","19.3","","0.0","","0.0","","2.0","","2.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-27","1987","01","27","","4.5","","-2.0","","1.3","","16.7","","0.0","","7.0","","1.0","","8.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-28","1987","01","28","","3.0","","-1.5","","0.8","","17.2","","0.0","","1.0","","0.0","T","1.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-29","1987","01","29","","3.5","","2.0","","2.8","","15.2","","0.0","","0.0","T","0.0","T","0.0","T","55","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-30","1987","01","30","","4.5","","-2.5","","1.0","","17.0","","0.0","","0.0","T","6.0","","6.0","","53","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-01-31","1987","01","31","","2.0","","0.0","","1.0","","17.0","","0.0","","2.0","","15.0","","17.0","","59","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-01","1987","02","01","","5.0","","0.0","","2.5","","15.5","","0.0","","17.0","","2.0","","19.0","","75","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-02","1987","02","02","","3.5","","-8.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-03","1987","02","03","","-5.0","","-17.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-04","1987","02","04","","2.5","","-8.5","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-05","1987","02","05","","9.0","","-6.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-06","1987","02","06","","10.5","","-5.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-07","1987","02","07","","9.5","","-9.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-08","1987","02","08","","7.5","","-11.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-09","1987","02","09","","6.0","","-11.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-10","1987","02","10","","5.0","","-11.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-11","1987","02","11","","9.0","","-6.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-12","1987","02","12","","8.5","","-3.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-13","1987","02","13","","1.5","","-9.0","","-3.8","","21.8","","0.0","","0.0","T","7.0","","7.0","","54","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-14","1987","02","14","","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-15","1987","02","15","","6.0","","-5.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-16","1987","02","16","","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","T","0.0","T","0.0","T","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-17","1987","02","17","","5.0","","1.0","","3.0","","15.0","","0.0","","0.5","","0.0","","0.5","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-18","1987","02","18","","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-19","1987","02","19","","4.0","","-8.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-20","1987","02","20","","5.0","","-8.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-21","1987","02","21","","1.5","","-3.5","","-1.0","","19.0","","0.0","","0.0","","5.0","","5.0","","54","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-22","1987","02","22","","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","T","5.0","","5.0","","59","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-23","1987","02","23","","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-24","1987","02","24","","-2.0","","-15.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-25","1987","02","25","","-4.0","","-18.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-26","1987","02","26","","-1.5","","-22.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-27","1987","02","27","","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","5.0","","5.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","1987-02-28","1987","02","28","","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","8.0","","8.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","1987-03-01","1987","03","01","","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","8.0","","8.0","","69","","","","",""
