"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1993-01-01","1993","01","01","","-14.0","","-24.0","","-19.0","","37.0","","0.0","","0.0","","1.0","","1.0","","78","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-02","1993","01","02","","-15.0","","-28.5","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","79","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-03","1993","01","03","","-9.0","","-20.0","","-14.5","","32.5","","0.0","","0.0","","7.0","","7.0","","79","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-04","1993","01","04","","-12.0","","-14.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-05","1993","01","05","","-16.0","","-28.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","78","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-06","1993","01","06","","-18.0","","-33.0","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","74","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-07","1993","01","07","","-8.0","","-34.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","71","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-08","1993","01","08","","-7.0","","-28.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-09","1993","01","09","","-9.5","","-16.0","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-10","1993","01","10","","-15.0","","-28.5","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-11","1993","01","11","","-12.0","","-28.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-12","1993","01","12","","-13.0","","-31.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-13","1993","01","13","","-16.0","","-33.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-14","1993","01","14","","-11.0","","-23.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-15","1993","01","15","","-6.0","","-22.0","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","58","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-16","1993","01","16","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-17","1993","01","17","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-18","1993","01","18","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1993-01-19","1993","01","19","","-4.0","","-19.0","","-11.5","","29.5","","0.0","","0.0","","6.0","","6.0","","57","","","","",""
