"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2023-01-01","2023","01","01","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-02","2023","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-03","2023","01","03","†","-3.0","","-5.5","","-4.3","","22.3","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-04","2023","01","04","†","-3.5","","-5.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-05","2023","01","05","†","-3.5","","-6.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-06","2023","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-07","2023","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-08","2023","01","08","†","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","","8.0","","8.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-09","2023","01","09","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","3.0","","3.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-10","2023","01","10","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-11","2023","01","11","†","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-12","2023","01","12","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","1.0","","1.0","","54","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-13","2023","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-14","2023","01","14","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-15","2023","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2023-01-16","2023","01","16","†","4.0","","1.0","","2.5","","15.5","","0.0","","1.8","","0.0","","1.8","","48","","","","",""
