"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1914-01-01","1914","01","01","","0.6","","-3.3","","-1.4","","19.4","","0.0","","0.0","","16.0","","16.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-02","1914","01","02","","1.1","","-6.7","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-03","1914","01","03","","2.8","","-6.7","","-2.0","","20.0","","0.0","","0.0","","3.3","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-04","1914","01","04","","2.8","","-1.1","","0.9","","17.1","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-05","1914","01","05","","7.2","","0.0","","3.6","","14.4","","0.0","","17.3","","0.0","","17.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-06","1914","01","06","","8.3","","1.7","","5.0","","13.0","","0.0","","23.1","","0.0","","23.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-07","1914","01","07","","7.2","","0.6","","3.9","","14.1","","0.0","","31.8","","0.0","","31.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-08","1914","01","08","","6.7","","-0.6","","3.1","","14.9","","0.0","","31.8","","0.0","","31.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-09","1914","01","09","","1.1","","-2.8","","-0.9","","18.9","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-10","1914","01","10","","0.0","","-7.8","","-3.9","","21.9","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01-11","1914","01","11","","0.6","","-3.3","","-1.4","","19.4","","0.0","","0.0","","2.5","","2.5","","","","","","",""
