"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1968-01-01","1968","01","01","","-10.6","","-11.7","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-02","1968","01","02","","-18.3","","-27.8","","-23.1","","41.1","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-03","1968","01","03","","-1.7","","-21.7","","-11.7","","29.7","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-04","1968","01","04","","0.6","","-12.2","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-05","1968","01","05","","-12.2","","-16.1","","-14.2","","32.2","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-06","1968","01","06","","-13.9","","-22.8","","-18.4","","36.4","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-07","1968","01","07","","-3.3","","-19.4","","-11.4","","29.4","","0.0","","0.0","","17.8","","17.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-08","1968","01","08","","-3.3","","-13.9","","-8.6","","26.6","","0.0","","0.0","","3.3","","3.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-09","1968","01","09","","2.2","","-13.3","","-5.6","","23.6","","0.0","","0.0","","17.8","","17.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-10","1968","01","10","","0.0","","-11.7","","-5.9","","23.9","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-11","1968","01","11","","-3.3","","-5.6","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-12","1968","01","12","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","0.0","","5.8","","5.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-13","1968","01","13","","2.2","","-5.6","","-1.7","","19.7","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-14","1968","01","14","","2.8","","-1.7","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-15","1968","01","15","","5.6","","0.6","","3.1","","14.9","","0.0","","6.9","","0.0","","6.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-16","1968","01","16","","2.2","","-3.9","","-0.9","","18.9","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-17","1968","01","17","","0.6","","-1.1","","-0.3","","18.3","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-18","1968","01","18","","5.0","","-1.7","","1.7","","16.3","","0.0","","2.5","","1.3","","3.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-19","1968","01","19","","6.7","","0.6","","3.7","","14.3","","0.0","","5.3","","0.0","","5.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-20","1968","01","20","","8.3","","2.8","","5.6","","12.4","","0.0","","9.9","","0.0","","9.9","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-21","1968","01","21","","10.0","","3.9","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-22","1968","01","22","","6.1","","-3.3","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-23","1968","01","23","","8.3","","2.8","","5.6","","12.4","","0.0","","2.0","","0.0","","2.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-24","1968","01","24","","7.8","","5.0","","6.4","","11.6","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-25","1968","01","25","","-2.2","","-6.7","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-26","1968","01","26","","-17.2","","-18.3","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-27","1968","01","27","","-17.2","","-25.0","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-28","1968","01","28","","-15.6","","-26.1","","-20.9","","38.9","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-29","1968","01","29","","-11.7","","-23.3","","-17.5","","35.5","","0.0","","0.0","","36.8","","36.8","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-30","1968","01","30","","-2.8","","-13.3","","-8.1","","26.1","","0.0","","0.0","","7.1","","7.1","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1968-01-31","1968","01","31","","-1.1","","-4.4","","-2.8","","20.8","","0.0","","0.0","","5.1","","5.1","","","","","","",""
