"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2007-01-01","2007","01","01","","0.0","","","Y","","","","","","","2.0","","4.0","","6.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-02","2007","01","02","","6.0","","0.0","","3.0","","15.0","","0.0","","37.0","","0.0","","37.0","","53","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-03","2007","01","03","","5.0","","3.0","","4.0","","14.0","","0.0","","0.0","","10.0","","10.0","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-04","2007","01","04","","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-05","2007","01","05","","-1.0","","-10.0","","-5.5","","23.5","","0.0","","0.0","","20.0","","20.0","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-06","2007","01","06","","3.0","","-11.0","","-4.0","","22.0","","0.0","","0.0","T","2.0","","2.0","","67","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-07","2007","01","07","","5.0","","-8.0","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","65","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-08","2007","01","08","","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","60","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-09","2007","01","09","","7.0","","-6.0","","0.5","","17.5","","0.0","","8.4","","0.0","","8.4","","58","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-10","2007","01","10","","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-11","2007","01","11","","-9.0","","-16.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-12","2007","01","12","","-13.0","","-28.0","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-13","2007","01","13","","-13.0","","-22.0","","-17.5","","35.5","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-14","2007","01","14","","-12.0","","-28.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-15","2007","01","15","","-12.0","","-18.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-16","2007","01","16","","-7.0","","-20.0","","-13.5","","31.5","","0.0","","0.0","","2.0","","2.0","","50","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-17","2007","01","17","","-5.0","","-18.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-18","2007","01","18","","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","","8.0","","8.0","","52","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-19","2007","01","19","","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","18.0","","18.0","","60","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-20","2007","01","20","","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","75","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-21","2007","01","21","","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","73","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-22","2007","01","22","","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","T","0.0","","0.0","T","68","","","","",""
"-115.07","49.49","FERNIE","1152850","2007-01-23","2007","01","23","","5.0","","-2.0","","1.5","","16.5","","0.0","","6.0","","0.0","","6.0","","66","","","","",""
