"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1983-01-01","1983","01","01","","-5.0","","-20.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-02","1983","01","02","","-3.0","","-25.0","","-14.0","","32.0","","0.0","","0.0","","6.0","","6.0","","57","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-03","1983","01","03","","-1.0","","-18.0","","-9.5","","27.5","","0.0","","0.0","","6.0","","6.0","","63","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-04","1983","01","04","","2.0","","-11.5","","-4.8","","22.8","","0.0","","0.0","","10.0","","10.0","","67","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-05","1983","01","05","","2.5","","-8.0","","-2.8","","20.8","","0.0","","12.0","","2.0","","14.0","","74","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-06","1983","01","06","","4.0","","-7.0","","-1.5","","19.5","","0.0","","4.0","","1.0","","5.0","","72","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-07","1983","01","07","","7.0","","-7.0","","0.0","","18.0","","0.0","","37.0","","0.0","","37.0","","70","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-08","1983","01","08","","3.5","","-6.5","","-1.5","","19.5","","0.0","","0.0","","9.0","","9.0","","59","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-09","1983","01","09","","1.5","","-12.0","","-5.3","","23.3","","0.0","","2.0","","5.0","","7.0","","64","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-10","1983","01","10","","7.0","","-9.0","","-1.0","","19.0","","0.0","","2.0","","0.0","","2.0","","62","","","","",""
"-115.07","49.49","FERNIE","1152850","1983-01-11","1983","01","11","","7.0","","-5.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
